J-Date,Date,Weekday,Open,High,Low,Close
1390-09-05,2011-11-26,Saturday,13700,13700,13700,13700
1390-09-06,2011-11-27,Sunday,13440,13440,13440,13440
1390-09-07,2011-11-28,Monday,13350,13350,13350,13350
1390-09-08,2011-11-29,Tuesday,13400,13400,13400,13400
1390-09-09,2011-11-30,Wednesday,13500,13500,13500,13500
1390-09-11,2011-12-02,Friday,13650,13650,13650,13650
1390-09-12,2011-12-03,Saturday,13610,13610,13610,13610
1390-09-15,2011-12-06,Tuesday,13650,13650,13650,13650
1390-09-16,2011-12-07,Wednesday,13550,13550,13550,13550
1390-09-18,2011-12-09,Friday,13450,13450,13450,13450
1390-09-19,2011-12-10,Saturday,13450,13450,13450,13450
1390-09-20,2011-12-11,Sunday,13530,13530,13530,13530
1390-09-21,2011-12-12,Monday,13630,13630,13630,13630
1390-09-22,2011-12-13,Tuesday,13770,13770,13770,13770
1390-09-23,2011-12-14,Wednesday,13710,13710,13710,13710
1390-09-25,2011-12-16,Friday,13840,13840,13840,13840
1390-09-26,2011-12-17,Saturday,14080,14080,14080,14080
1390-09-27,2011-12-18,Sunday,14500,14500,14500,14500
1390-09-28,2011-12-19,Monday,15300,15300,15300,15300
1390-09-29,2011-12-20,Tuesday,15150,15150,15150,15150
1390-09-30,2011-12-21,Wednesday,14230,14230,14230,14230
1390-10-02,2011-12-23,Friday,14350,14350,14350,14350
1390-10-03,2011-12-24,Saturday,14800,14800,14800,14800
1390-10-04,2011-12-25,Sunday,15250,15250,15250,15250
1390-10-05,2011-12-26,Monday,15150,15150,15150,15150
1390-10-06,2011-12-27,Tuesday,15200,15200,15200,15200
1390-10-07,2011-12-28,Wednesday,15220,15220,15220,15220
1390-10-09,2011-12-30,Friday,15550,15550,15550,15550
1390-10-10,2011-12-31,Saturday,15900,15900,15900,15900
1390-10-11,2012-01-01,Sunday,17400,17400,17400,17400
1390-10-12,2012-01-02,Monday,16200,16200,16200,16200
1390-10-13,2012-01-03,Tuesday,15800,15800,15800,15800
1390-10-14,2012-01-04,Wednesday,15980,15980,15980,15980
1390-10-16,2012-01-06,Friday,15970,15970,15970,15970
1390-10-17,2012-01-07,Saturday,16550,16550,16550,16550
1390-10-18,2012-01-08,Sunday,16900,16900,16900,16900
1390-10-19,2012-01-09,Monday,16900,16900,16900,16900
1390-10-20,2012-01-10,Tuesday,16920,16920,16920,16920
1390-10-21,2012-01-11,Wednesday,16950,16950,16950,16950
1390-10-25,2012-01-15,Sunday,16900,16900,16900,16900
1390-10-26,2012-01-16,Monday,17400,17400,17400,17400
1390-10-27,2012-01-17,Tuesday,18200,18200,18200,18200
1390-10-28,2012-01-18,Wednesday,18200,18200,18200,18200
1390-10-30,2012-01-20,Friday,19000,19000,19000,19000
1390-11-02,2012-01-22,Sunday,21000,21000,21000,21000
1390-11-04,2012-01-24,Tuesday,19000,19000,19000,19000
1390-11-05,2012-01-25,Wednesday,17000,17000,17000,17000
1390-11-07,2012-01-27,Friday,17700,17700,17700,17700
1390-11-08,2012-01-28,Saturday,18300,18300,18300,18300
1390-11-09,2012-01-29,Sunday,18300,18300,18300,18300
1390-11-11,2012-01-31,Tuesday,18300,18300,18300,18300
1390-11-14,2012-02-03,Friday,17750,17750,17750,17750
